Aakar Gupta,[Facebook]
Nitesh Goyal,"[Google, US]"
Nithya Sambasivan,"[Google AI, USA]"
Nolwenn Maudet,[University of Strasbourg]
Nora McDonald,[UMBC]
Norman Makoto Su,"[University of California, Santa Cruz]"
Nova Ahmed,"[North South University, North South University, Bangladesh]"
Oliver Bates,"[Lancaster University, UK]"
Oliver Haimson,[University of Michigan]
Oliver Schneider,[University of Waterloo]
Ollie Hanton,[University of Bristol]
Oren Zuckerman,[Interdisciplinary Center Herzliya]
Otmar Hilliges,[ETH Zurich]
Oussama Metatla,[University of Bristol]
Oğuz 'Oz' Buruk,[Tampere University]
Pablo Cesar,[CWI]
Parinya Punpongsanon,[Osaka University]
Parisa Eslambolchilar,[University of Cardiff]
Parmit Chilana,"[Simon Fraser University, Canada]"
Passant Elagroudy,[German Centre for Artificial Intelligence (DFKI)]
Patricia Cornelio Martinez,"[University College London, UK]"
Patrick Gage Kelley,[Google]
Patrick Shih,"[Indiana University, USA]"
Patrizia Marti,[University of Siena]
Patrycja Zdziarska,[Indiana University (USA)]
Paul Denny,"[University of Auckland, New Zealand]"
Paul Parsons,"[Purdue University, USA]"
Paul Strohmeier,[Saarland University]
Paula Lago,"[Concordia University, Kyushu Institute of Technology, Japan]"
Pawel Wozniak,[Utrecht University]
Pedja Klasnja,[University of Michigan]
Pedro Lopes,[University of Chicago]
Pedro Reynolds-Cuéllar,[MIT Media Lab]
Pedro Sanches,[KTH]
Peggy Chi,[Google]
Pei-Yi (Patricia) Kuo,[National Tsing Hua University]
Pejman Mirza-Babaei,[Ontario Tech University]
Penny Kyburz,[Australian National University]
Per Ola Kristensson,[University of Cambridge]
Pernilla Qvarfordt,"[eBay, USA]"
Pernille Bjorn,"[University of Copenhagen, Copenhagen, Denmark]"
Pernille Bjørn,[University of Copenhagen]
Perttu Hamalainen,[Aalto University]
Peter Frohlich,[AIT]
Peter Krogh,[Aarhus University]
Peter Tolmie,[University of Siegen]
Petr Slovak,[University College London]
Phil Palanque,"[Université Paul Sabatier – Toulouse 3, France]"
Philippe Palanque,"[Université Toulouse III Paul Sabatier, France]"
Phillip Guo,[UC San Diego]
Pierre Dragicevic,"[Inria, France]"
